Paribu Cineverse Marmarapark,İstanbul,Esenyurt
Paribu Cineverse Capacity,İstanbul,Bakırköy
Paribu Cineverse Akasya,İstanbul,Üsküdar
Paribu Cineverse Cevahir,İstanbul,Şişli
